Date,Open,High,Low,Close,Adj Close,Volume
2020-10-14,20.219999,20.219999,20.219999,20.219999,20.219999,0
2020-10-15,16.150000,19.000000,16.100000,18.500000,18.500000,5821
2020-10-16,18.000000,19.525999,17.600000,18.520000,18.520000,6783
2020-10-19,18.500000,18.650000,18.138000,18.299999,18.299999,6874
2020-10-20,18.500000,18.750000,18.400000,18.750000,18.750000,3136
2020-10-21,19.000000,19.000000,18.200001,18.200001,18.200001,856
2020-10-22,18.299999,19.162001,18.299999,19.000000,19.000000,1080
2020-10-23,19.200001,19.500000,18.993999,19.400000,19.400000,2261
2020-10-26,19.304001,20.400000,19.200001,20.100000,20.100000,2327
2020-10-27,20.490000,21.280001,20.020000,20.875000,20.875000,4743
2020-10-28,20.910000,21.040001,18.200001,19.350000,19.350000,10033
2020-10-29,19.788000,20.299999,18.500000,18.917999,18.917999,2390
2020-10-30,18.660000,18.660000,17.374001,18.000000,18.000000,3001
2020-11-02,17.768000,18.365999,17.768000,18.350000,18.350000,1343
2020-11-03,18.900000,18.900000,18.299999,18.780001,18.780001,1206
2020-11-04,18.219999,19.500000,18.219999,19.500000,19.500000,1050
2020-11-05,19.576000,19.576000,19.000000,19.000000,19.000000,500
2020-11-06,18.958000,20.555000,18.958000,20.299999,20.299999,3815
2020-11-09,20.580000,21.225000,19.354000,19.681999,19.681999,1490
2020-11-10,20.219999,20.219999,18.500000,18.799999,18.799999,1761
2020-11-11,18.299999,19.400000,18.299999,18.799999,18.799999,4718
2020-11-12,18.500000,18.500000,17.688000,18.200001,18.200001,2275
2020-11-13,17.900000,18.299999,16.900000,17.114000,17.114000,2887
2020-11-16,17.200001,17.200001,15.994000,16.200001,16.200001,3580
2020-11-17,16.224001,16.224001,15.090000,15.100000,15.100000,2166
2020-11-18,15.000000,15.686000,14.500000,15.100000,15.100000,1256
2020-11-19,15.220000,16.500000,15.220000,16.500000,16.500000,2045
2020-11-20,16.299999,17.474001,16.299999,17.474001,17.474001,822
2020-11-23,17.496000,17.750000,16.858000,16.858000,16.858000,725
2020-11-24,17.378000,17.388000,17.136000,17.388000,17.388000,740
2020-11-25,17.412001,17.950001,17.412001,17.950001,17.950001,1040
2020-11-26,18.200001,18.600000,16.594000,17.100000,17.100000,4584
2020-11-27,17.224001,17.224001,15.996000,16.700001,16.700001,2122
2020-11-30,16.700001,17.250000,16.700001,17.250000,17.250000,2590
2020-12-01,17.100000,17.514000,17.000000,17.091999,17.091999,830
2020-12-02,16.719999,16.900000,16.719999,16.900000,16.900000,100
2020-12-03,16.625999,16.625999,16.600000,16.600000,16.600000,454
2020-12-04,16.500000,16.500000,16.500000,16.500000,16.500000,0
2020-12-07,16.610001,16.700001,16.610001,16.700001,16.700001,487
2020-12-08,16.284000,17.600000,16.284000,17.600000,17.600000,408
2020-12-09,17.875999,17.875999,16.983999,16.983999,16.983999,706
2020-12-10,17.236000,17.572001,17.236000,17.500000,17.500000,725
2020-12-11,17.591999,17.770000,17.591999,17.770000,17.770000,50
2020-12-14,17.856001,19.086000,17.856001,18.850000,18.850000,1268
2020-12-15,18.500000,19.299999,18.500000,18.958000,18.958000,1443
2020-12-16,18.612000,20.030001,18.612000,19.205999,19.205999,778
2020-12-17,19.288000,19.552000,19.288000,19.368000,19.368000,1056
2020-12-18,19.132000,19.576000,18.799999,18.799999,18.799999,400
2020-12-21,19.100000,19.100000,18.096001,18.096001,18.096001,191
2020-12-22,18.080000,18.080000,18.080000,18.080000,18.080000,0
2020-12-23,18.200001,19.021999,18.200001,19.018000,19.018000,325
2020-12-28,19.200001,19.322001,18.799999,19.322001,19.322001,740
2020-12-29,18.830000,19.228001,18.830000,19.181999,19.181999,5977
2020-12-30,18.726000,18.726000,18.726000,18.726000,18.726000,50
2021-01-04,18.486000,18.945999,18.486000,18.870001,18.870001,1216
2021-01-05,18.326000,18.798000,18.326000,18.798000,18.798000,10
2021-01-06,18.924000,18.924000,18.600000,18.700001,18.700001,472
2021-01-07,18.676001,18.676001,18.341999,18.341999,18.341999,625
2021-01-08,17.924000,17.924000,17.308001,17.750000,17.750000,1246
2021-01-11,17.604000,18.000000,17.507999,17.507999,17.507999,1425
2021-01-12,17.600000,17.851999,17.480000,17.492001,17.492001,840
2021-01-13,17.162001,17.500000,17.162001,17.200001,17.200001,363
2021-01-14,17.299999,17.322001,16.980000,17.322001,17.322001,3842
2021-01-15,16.799999,17.100000,16.799999,17.000000,17.000000,350
2021-01-18,17.000000,17.000000,16.573999,16.573999,16.573999,190
2021-01-19,17.100000,17.100000,16.680000,16.680000,16.680000,1080
2021-01-20,16.212000,16.514000,15.816000,16.100000,16.100000,1442
2021-01-21,16.474001,16.497999,16.000000,16.200001,16.200001,1420
2021-01-22,16.198000,16.198000,16.186001,16.186001,16.186001,225
2021-01-25,16.228001,16.228001,15.500000,15.674000,15.674000,310
2021-01-26,15.384000,15.384000,15.384000,15.384000,15.384000,0
2021-01-27,16.350000,16.350000,15.260000,15.600000,15.600000,527
2021-01-28,15.204000,15.204000,14.736000,15.000000,15.000000,480
2021-01-29,15.246000,16.000000,15.246000,16.000000,16.000000,50
2021-02-01,16.378000,16.378000,16.378000,16.378000,16.378000,200
2021-02-02,16.090000,16.090000,16.090000,16.090000,16.090000,50
2021-02-03,15.944000,15.944000,15.816000,15.816000,15.816000,301
2021-02-04,15.822000,15.822000,15.410000,15.412000,15.412000,273
2021-02-05,15.296000,15.596000,15.296000,15.596000,15.596000,300
2021-02-08,15.488000,15.488000,15.488000,15.488000,15.488000,0
2021-02-09,15.086000,15.378000,15.086000,15.100000,15.100000,550
2021-02-10,15.022000,15.022000,14.500000,14.500000,14.500000,539
2021-02-11,14.450000,15.454000,14.450000,15.342000,15.342000,640
2021-02-12,15.330000,15.330000,15.328000,15.328000,15.328000,100
2021-02-15,15.178000,15.496000,15.178000,15.202000,15.202000,672
2021-02-16,15.490000,15.898000,15.490000,15.896000,15.896000,1375
2021-02-17,15.218000,15.218000,15.218000,15.218000,15.218000,0
2021-02-18,15.172000,15.800000,15.172000,15.400000,15.400000,1243
2021-02-19,15.212000,15.212000,15.180000,15.180000,15.180000,65
2021-02-22,14.708000,14.708000,14.708000,14.708000,14.708000,40
2021-02-23,14.798000,14.798000,14.186000,14.186000,14.186000,1100
2021-02-24,14.256000,14.400000,14.256000,14.400000,14.400000,300
2021-02-25,14.368000,14.368000,14.368000,14.368000,14.368000,0
2021-02-26,13.958000,14.036000,13.496000,14.036000,14.036000,722
2021-03-01,14.028000,14.028000,14.028000,14.028000,14.028000,0
2021-03-02,13.874000,14.856000,13.874000,14.856000,14.856000,340
2021-03-03,14.600000,14.630000,14.600000,14.630000,14.630000,150
2021-03-04,14.728000,14.728000,14.000000,14.000000,14.000000,3690
2021-03-05,13.900000,13.980000,13.900000,13.980000,13.980000,230
2021-03-08,13.906000,13.906000,13.644000,13.700000,13.700000,190
2021-03-09,13.734000,13.760000,13.734000,13.760000,13.760000,500
2021-03-10,13.882000,13.882000,13.882000,13.882000,13.882000,0
2021-03-11,14.174000,14.174000,14.174000,14.174000,14.174000,0
2021-03-12,13.948000,13.948000,13.948000,13.948000,13.948000,0
2021-03-15,13.966000,14.076000,13.730000,13.730000,13.730000,981
2021-03-16,13.816000,13.816000,12.600000,13.000000,13.000000,1606
2021-03-17,13.090000,13.100000,13.090000,13.100000,13.100000,2000
2021-03-18,12.990000,12.990000,12.990000,12.990000,12.990000,0
2021-03-19,12.608000,12.608000,12.608000,12.608000,12.608000,0
2021-03-22,12.850000,13.078000,12.850000,13.078000,13.078000,300
2021-03-23,12.700000,12.700000,12.250000,12.250000,12.250000,560
2021-03-24,12.250000,12.250000,11.582000,11.582000,11.582000,1050
2021-03-25,11.642000,11.642000,11.642000,11.642000,11.642000,0
2021-03-26,11.466000,11.466000,11.226000,11.226000,11.226000,60
2021-03-29,11.248000,11.248000,11.248000,11.248000,11.248000,0
2021-03-30,11.270000,11.558000,11.270000,11.558000,11.558000,105
2021-03-31,11.836000,11.836000,11.836000,11.836000,11.836000,0
2021-04-01,11.864000,12.376000,11.864000,12.200000,12.200000,160
2021-04-06,12.326000,12.326000,12.326000,12.326000,12.326000,160
2021-04-07,12.238000,12.492000,12.238000,12.492000,12.492000,150
2021-04-08,12.382000,12.390000,12.382000,12.390000,12.390000,1050
2021-04-09,12.244000,12.974000,12.244000,12.974000,12.974000,200
2021-04-12,12.714000,12.714000,12.440000,12.440000,12.440000,50
2021-04-13,12.484000,12.484000,12.484000,12.484000,12.484000,0
2021-04-14,12.458000,12.678000,12.458000,12.678000,12.678000,175
2021-04-15,12.940000,12.940000,12.940000,12.940000,12.940000,0
2021-04-16,12.750000,12.750000,12.750000,12.750000,12.750000,75
2021-04-19,12.500000,12.700000,12.500000,12.700000,12.700000,25
2021-04-20,12.066000,12.394000,12.066000,12.394000,12.394000,200
2021-04-21,11.948000,12.000000,11.948000,12.000000,12.000000,400
2021-04-22,11.814000,11.814000,11.814000,11.814000,11.814000,0
2021-04-23,12.250000,12.250000,12.250000,12.250000,12.250000,100
