Date,Open,High,Low,Close,Adj Close,Volume
2019-11-29,175.559998,177.179993,175.199997,175.479996,169.273056,486374
2019-12-02,175.679993,178.419998,174.360001,174.779999,168.597824,1050595
2019-12-03,175.119995,176.860001,172.160004,174.300003,168.134811,1260756
2019-12-04,175.000000,176.919998,174.080002,175.160004,168.964386,700597
2019-12-05,175.240005,176.660004,174.320007,174.940002,168.752167,530821
2019-12-06,175.580002,177.119995,174.399994,176.600006,170.353455,662523
2019-12-09,176.699997,177.820007,175.720001,175.820007,169.601044,484551
2019-12-10,175.119995,175.919998,172.440002,175.699997,169.485275,794660
2019-12-11,175.600006,178.679993,175.539993,178.240005,171.935440,914204
2019-12-12,178.300003,180.279999,176.880005,179.580002,173.228043,907633
2019-12-13,183.160004,187.740005,182.880005,183.300003,176.816467,2233831
2019-12-16,183.539993,184.080002,180.639999,182.240005,175.793961,717892
2019-12-17,182.419998,182.639999,180.539993,181.100006,174.694290,658915
2019-12-18,180.100006,180.860001,179.339996,179.679993,173.324493,731439
2019-12-19,179.199997,179.919998,175.779999,177.100006,170.835770,928407
2019-12-20,176.339996,178.679993,176.240005,176.960007,170.700714,1664262
2019-12-23,176.139999,176.720001,174.820007,176.160004,169.929016,599601
2019-12-27,176.880005,177.119995,175.160004,176.660004,170.411331,394014
2019-12-30,176.500000,176.979996,175.960007,176.240005,170.006195,276189
2020-01-02,175.600006,180.740005,175.559998,180.500000,174.115494,814205
2020-01-03,178.899994,179.240005,175.000000,176.639999,170.392029,948457
2020-01-06,175.000000,176.619995,173.179993,176.619995,170.372742,658053
2020-01-07,177.139999,178.600006,176.059998,176.059998,169.832550,932694
2020-01-08,175.000000,176.860001,174.179993,176.820007,170.565674,840853
2020-01-09,179.000000,182.360001,177.880005,181.720001,175.292343,1338153
2020-01-10,182.000000,186.839996,181.179993,185.520004,178.957947,1518740
2020-01-13,186.020004,186.399994,184.679993,185.279999,178.726425,812123
2020-01-14,185.300003,186.320007,183.580002,185.220001,178.668549,767691
2020-01-15,185.139999,185.479996,181.020004,182.619995,176.160507,1068497
2020-01-16,183.100006,183.279999,178.639999,179.919998,173.556015,925738
2020-01-17,181.240005,183.399994,180.679993,181.360001,174.945084,988847
2020-01-20,181.000000,183.259995,180.419998,182.020004,175.581741,422072
2020-01-21,180.600006,183.419998,179.759995,181.300003,174.887207,649325
2020-01-22,181.899994,183.979996,178.699997,179.139999,172.803604,1049016
2020-01-23,178.199997,180.119995,176.380005,176.580002,170.334152,837482
2020-01-24,178.500000,179.500000,176.740005,177.520004,171.240906,895854
2020-01-27,174.500000,174.800003,170.479996,171.639999,165.568893,1356742
2020-01-28,173.000000,173.059998,170.500000,172.460007,166.359894,985026
2020-01-29,173.000000,173.979996,169.460007,169.919998,163.909729,907400
2020-01-30,168.220001,170.399994,163.559998,164.000000,158.199127,1649026
2020-01-31,163.000000,164.899994,161.960007,162.380005,156.636429,1425734
2020-02-03,162.460007,163.479996,161.380005,162.800003,157.041580,858700
2020-02-04,163.360001,167.559998,162.720001,167.080002,161.170181,1113395
2020-02-05,167.500000,172.279999,165.660004,170.639999,164.604263,1263246
2020-02-06,172.520004,173.720001,170.160004,170.399994,164.372742,773462
2020-02-07,169.240005,169.380005,165.119995,166.419998,160.533524,1250212
2020-02-10,165.940002,167.220001,163.639999,164.380005,158.565689,777603
2020-02-11,166.000000,168.580002,165.320007,167.440002,161.517456,1067927
2020-02-12,168.479996,173.559998,168.440002,173.139999,167.015839,1101434
2020-02-13,171.500000,172.860001,169.860001,172.539993,166.437042,948791
2020-02-14,172.500000,173.479996,169.960007,170.460007,164.430634,798452
2020-02-17,173.300003,174.399994,172.339996,172.520004,166.417770,724621
2020-02-18,170.479996,172.179993,168.479996,169.360001,163.369537,725402
